Date, #words, #positive, #negative, pos freq, neg freq, volume, close
2007-12-17, 207315, 7692, 2429, 0.03710295926488676, 0.011716470105877529, 143939200, 5514.88
2007-12-18, 161489, 6123, 1851, 0.03791589520029228, 0.01146208100861359, 129472800, 5509.37
2007-12-19, 184699, 6975, 2095, 0.03776414598887921, 0.011342779332860492, 122648800, 5497.42
2007-12-20, 171936, 6405, 2095, 0.03725223338916806, 0.012184766424716173, 134068100, 5511.45
2007-12-21, 147617, 5630, 1698, 0.038139238705569144, 0.011502740199299538, 286831900, 5602.77
2007-12-22, 60486, 1869, 710, 0.030899712330125978, 0.011738253480144166, , 
2007-12-24, 124003, 4558, 1448, 0.03675717522963154, 0.011677136843463465, 23649000, 5614.28
2007-12-25, 36749, 1014, 391, 0.027592587553402815, 0.010639745299191814, , 
2007-12-26, 107854, 3841, 1342, 0.03561295825838634, 0.012442746676062084, , 
2007-12-27, 111867, 3907, 1351, 0.034925402486881744, 0.012076841248983167, 82236200, 5627.48
2007-12-28, 131151, 4827, 1574, 0.03680490427064986, 0.012001433462192434, 64864000, 5627.25
2007-12-29, 49600, 1397, 649, 0.02816532258064516, 0.013084677419354838, , 
2007-12-31, 115167, 4106, 1410, 0.035652574088063424, 0.012243090468623825, 21781800, 5614.08
2008-01-01, 39171, 1127, 508, 0.028771284879119757, 0.012968777922442623, , 
2008-01-02, 126877, 4610, 1457, 0.0363344026104022, 0.0114835628206846, 100458200, 5550.36
2008-01-03, 141350, 4952, 1784, 0.03503360452776795, 0.012621153165900248, 117504500, 5546.08
2008-01-04, 146498, 5460, 1746, 0.037270133380660486, 0.011918251443705716, 162947200, 5446.79
2008-01-05, 48166, 1402, 614, 0.029107669310301874, 0.01274758128140182, , 
2008-01-07, 197365, 7468, 2411, 0.037838522534390594, 0.012215945076381324, 181161800, 5452.83
2008-01-08, 170663, 6317, 1957, 0.03701446710769177, 0.01146704323725705, 174857100, 5495.67
2008-01-09, 183427, 6836, 2154, 0.03726823204871693, 0.011743091257012327, 198041500, 5435.42
2008-01-10, 206645, 7409, 2692, 0.03585375886181616, 0.013027172203537468, 166136700, 5400.43
2008-01-11, 202334, 7486, 2601, 0.03699823064833394, 0.01285498235590657, 178858400, 5371.41
2008-01-12, 64198, 1958, 788, 0.03049939250443939, 0.012274525686158447, , 
2008-01-14, 191666, 7485, 2241, 0.03905230974716434, 0.011692214581615935, 142891500, 5403.51
2008-01-15, 167104, 6247, 1955, 0.037383904634239754, 0.011699301034086557, 192383100, 5250.82
2008-01-16, 192527, 7168, 2352, 0.03723114160611239, 0.012216468339505628, 233648700, 5225.39
2008-01-17, 206157, 7421, 2335, 0.035996837361816476, 0.011326319261533685, 204957900, 5157.09
2008-01-18, 208107, 7710, 2396, 0.03704824921795038, 0.011513308057874075, 255148000, 5092.4
2008-01-19, 53272, 1564, 713, 0.02935876257696351, 0.013384141763027482, , 
2008-01-21, 190582, 7059, 2418, 0.0370391747384328, 0.012687452120347147, 365210100, 4744.45
2008-01-22, 181565, 6520, 2407, 0.03591000468151902, 0.013256960317241759, 463552500, 4842.54
2008-01-23, 226615, 7004, 2429, 0.03090704498819584, 0.01071861968536946, 353541900, 4636.76
2008-01-24, 193246, 6980, 2504, 0.036119764445318406, 0.012957577388406487, 323092800, 4915.29
2008-01-25, 212806, 7724, 2463, 0.03629596909861564, 0.011573921787919514, 232316200, 4878.12
2008-01-26, 60476, 1760, 739, 0.029102453865996428, 0.012219723526688273, , 
2008-01-28, 214458, 8195, 2626, 0.038212610394576095, 0.012244821829915415, 166274300, 4848.3
2008-01-29, 176185, 6664, 2113, 0.037823878309731246, 0.0119930754604535, 167172600, 4941.45
2008-01-30, 210370, 8051, 2507, 0.038270665969482344, 0.011917098445595855, 178151400, 4873.57
2008-01-31, 208189, 7528, 2558, 0.03615945126783836, 0.01228691237289194, 216186900, 4869.79
2008-02-01, 227551, 8842, 2763, 0.03885722321589446, 0.012142332927563492, 225981000, 4978.06
2008-02-02, 66840, 1981, 843, 0.029637941352483543, 0.012612208258527827, , 
2008-02-04, 192493, 7424, 2441, 0.038567636225732886, 0.01268098060708701, 131717900, 4973.64
2008-02-05, 174833, 6362, 2136, 0.03638901122785744, 0.012217373150377788, 200152000, 4776.86
2008-02-06, 176340, 6720, 2103, 0.03810820006805036, 0.011925825110581831, 211346000, 4816.43
2008-02-07, 203926, 7421, 2446, 0.03639065151084217, 0.011994547041573904, 221349300, 4723.8
2008-02-08, 216852, 7640, 2591, 0.035231402062235996, 0.011948241196760925, 224328000, 4709.65
2008-02-09, 60682, 1853, 782, 0.030536238093668632, 0.012886852773474835, , 
2008-02-11, 211825, 8012, 2457, 0.03782367520358787, 0.011599197450725835, 154090700, 4682.7
2008-02-12, 185266, 7251, 2237, 0.03913832003713579, 0.01207453067481351, 196522500, 4840.71
2008-02-13, 207989, 5505, 1832, 0.026467745890407665, 0.00880815812374693, 168735900, 4855.4
2008-02-14, 202203, 7436, 2354, 0.03677492420982874, 0.011641765948081879, 177895400, 4858.65
2008-02-15, 213901, 7868, 2551, 0.03678337174674265, 0.011926077951949735, 175653200, 4771.79
2008-02-16, 64136, 1889, 796, 0.02945303729574654, 0.012411126356492453, , 
2008-02-18, 185935, 7318, 2284, 0.03935784010541318, 0.012283862640169951, , 
2008-02-19, 174414, 6490, 2164, 0.03721031568566743, 0.012407260885020697, 153181200, 4885.83
2008-02-20, 170200, 6713, 2195, 0.03944183313748531, 0.012896592244418331, 168788700, 4812.81
2008-02-21, 186727, 6945, 2435, 0.03719333572541732, 0.013040428004519967, 162398400, 4858.85
2008-02-22, 210708, 7914, 2539, 0.037559086508343296, 0.012049850978605463, 162038700, 4824.55
2008-02-23, 58925, 1701, 746, 0.02886720407297412, 0.012660161221892235, , 
2008-02-25, 191847, 7392, 2261, 0.03853070415487341, 0.011785433183734956, 143544400, 4919.26
2008-02-26, 176866, 6568, 1973, 0.03713545848269311, 0.01115533793945699, 176562600, 4973.07
2008-02-27, 193049, 7209, 2453, 0.03734285077881781, 0.012706618526902497, 182277000, 4968.82
2008-02-28, 210439, 7975, 2582, 0.03789696776738152, 0.01226958881195976, 178539100, 4865.23
2008-02-29, 211695, 7525, 2512, 0.035546422919766646, 0.011866128156073597, 196078300, 4790.66
2008-03-01, 60467, 1807, 804, 0.02988406899631204, 0.013296508839532307, , 
2008-03-03, 206791, 7506, 2544, 0.03629751778365596, 0.012302276211247104, 150295500, 4742.66
2008-03-04, 164350, 6009, 2101, 0.03656221478551871, 0.012783693337389717, 163286600, 4675.91
2008-03-05, 184455, 6869, 2185, 0.03723943509257, 0.01184570762516603, 141700700, 4756.42
2008-03-06, 17688, 731, 225, 0.041327453640886476, 0.012720488466757123, 158195900, 4678.05
2008-03-07, 195887, 7227, 2536, 0.03689371933818988, 0.012946239413539439, 198919200, 4618.96
2008-03-08, 60348, 1746, 806, 0.028932193278981905, 0.013355869291442965, , 
2008-03-10, 241579, 8093, 3080, 0.033500428431279206, 0.012749452560032123, 158091800, 4566.99
2008-03-11, 174624, 6208, 2192, 0.035550668865677114, 0.01255268462525197, 189545700, 4627.69
2008-03-12, 191059, 7367, 2297, 0.03855876980409193, 0.012022464264965272, 196215200, 4697.1
2008-03-13, 192651, 6533, 2299, 0.03391106197216729, 0.011933496322365313, 197888900, 4630.19
2008-03-14, 217251, 7787, 2670, 0.03584333328730362, 0.0122899319220625, 214275200, 4592.15
2008-03-15, 60078, 1741, 782, 0.028978993974499816, 0.013016411997736276, , 
2008-03-17, 269696, 8275, 3093, 0.030682694589463693, 0.011468468201233982, 249766000, 4431.04
2008-03-18, 239291, 6418, 2313, 0.02682090007564012, 0.009666055137886506, 223507000, 4582.59
2008-03-19, 184086, 7110, 2263, 0.03862325217561357, 0.012293167323968145, 248269200, 4555.95
2008-03-20, 198638, 7176, 2448, 0.0361260181838319, 0.012323925935621583, 290932000, 4533.72
2008-03-21, 187956, 6710, 2256, 0.03569984464449127, 0.012002809168103173, , 
2008-03-22, 54426, 1576, 610, 0.028956748612795354, 0.011207878587439827, , 
2008-03-24, 50371, 1391, 563, 0.02761509598777074, 0.01117706616902583, , 
2008-03-25, 171657, 6496, 2088, 0.03784290765887788, 0.01216379174749646, 206193300, 4692.0
2008-03-26, 179342, 6903, 2167, 0.038490704910171626, 0.01208305918301346, 153864400, 4676.68
2008-03-27, 186839, 6771, 2142, 0.036239757224134146, 0.011464415887475312, 150671700, 4719.53
2008-03-28, 187415, 6924, 2149, 0.0369447482858896, 0.011466531494277406, 115984400, 4695.92
2008-03-29, 58039, 1710, 762, 0.029462947328520478, 0.01312910284463895, , 
2008-03-31, 182361, 7244, 2234, 0.03972340577206749, 0.012250426352125728, 142322200, 4707.07
2008-04-01, 182358, 6970, 2298, 0.03822152030621086, 0.012601585891488172, 188525000, 4866.0
2008-04-02, 182283, 6866, 2321, 0.0376667050684924, 0.012732948217880987, 173182300, 4911.97
2008-04-03, 202620, 7552, 2362, 0.0372717402033363, 0.011657289507452375, 151866000, 4887.87
2008-04-04, 202695, 7620, 2405, 0.03759342855028491, 0.01186511754113323, 141401200, 4900.88
2008-04-05, 60517, 1846, 823, 0.03050382537138325, 0.01359948444238809, , 
2008-04-07, 208299, 8239, 2493, 0.03955371845280102, 0.011968372387769504, 128312000, 4944.6
2008-04-08, 188387, 7118, 2276, 0.03778392351913879, 0.012081513055571775, 113384100, 4912.69
2008-04-09, 171965, 6429, 2249, 0.03738551449422848, 0.013078242665658709, 127023000, 4874.97
2008-04-10, 170254, 6126, 2088, 0.03598153347351604, 0.012264029038965311, 161154900, 4859.42
2008-04-11, 189165, 7537, 2345, 0.03984352285042159, 0.012396584991938254, 153178100, 4797.93
2008-04-12, 54089, 1753, 597, 0.03240954722771728, 0.011037364343951635, , 
2008-04-14, 174775, 6739, 2224, 0.038558146187955944, 0.012724932055499929, 119717800, 4766.49
2008-04-15, 176023, 6821, 2151, 0.038750617816989824, 0.012219993978059685, 118835800, 4780.68
2008-04-16, 162476, 6531, 1845, 0.040196705975036315, 0.01135552327728403, 181523100, 4855.1
2008-04-17, 188537, 6988, 2299, 0.03706434280804299, 0.012193892975914541, 165843700, 4862.14
2008-04-18, 216333, 7857, 2556, 0.0363190081956983, 0.01181511835919624, 192982500, 4961.69
2008-04-19, 55226, 1710, 610, 0.030963676529171043, 0.011045522036721834, , 
2008-04-21, 190747, 7159, 2086, 0.03753138974662773, 0.010935951810513402, 134671700, 4910.35
2008-04-22, 162834, 6250, 1964, 0.03838264735865974, 0.012061363105985237, 128651100, 4872.64
2008-04-23, 162883, 6058, 1876, 0.03719234051435693, 0.011517469594739782, 155547700, 4944.65
2008-04-24, 180795, 6492, 2082, 0.03590807267900108, 0.011515805193727703, 138180000, 4929.55
2008-04-25, 209132, 7391, 2401, 0.03534131553277356, 0.01148078725398313, 161354600, 4978.21
2008-04-26, 59144, 1620, 683, 0.027390775057486813, 0.011548086027323143, , 
2008-04-28, 182087, 6927, 2130, 0.0380422545266823, 0.011697704943241417, 94535600, 5012.75
2008-04-29, 179787, 6834, 2210, 0.03801164711575364, 0.012292323694149187, 132602200, 4977.1
2008-04-30, 239389, 7853, 2638, 0.03280434773527606, 0.01101972103981386, 152666500, 4996.54
2008-05-01, 729, 27, 1, 0.037037037037037035, 0.0013717421124828531, , 
2008-05-02, 155490, 5612, 1835, 0.03609235320599395, 0.011801402019422471, 162669700, 5069.71
2008-05-03, 54147, 1618, 734, 0.029881618556891424, 0.013555690989343823, , 
2008-05-05, 184749, 6999, 2236, 0.03788383157689622, 0.012102907187589648, 70413600, 5063.36
2008-05-06, 152237, 5720, 1835, 0.037572994738466994, 0.012053574361029185, 121975800, 5040.92
2008-05-07, 207978, 7634, 2245, 0.0367058054217273, 0.010794410947311735, 133948700, 5075.31
2008-05-08, 83671, 2429, 1026, 0.029030368945034718, 0.012262313107289265, 109887100, 5055.58
2008-05-09, 193618, 7472, 2486, 0.03859145327397246, 0.012839715315724778, 128284100, 4960.56
2008-05-10, 49317, 1400, 700, 0.02838777703428838, 0.01419388851714419, , 
2008-05-12, 63254, 1837, 791, 0.029041641635311602, 0.012505138014987194, 74711800, 4976.21
2008-05-13, 171356, 6821, 2090, 0.03980601788090291, 0.01219682999136301, 144607000, 4998.67
2008-05-14, 202813, 7994, 2429, 0.03941561931434376, 0.011976549826687638, 153916500, 5055.24
2008-05-15, 189801, 7221, 2223, 0.03804511040510851, 0.011712267058656172, 130183800, 5057.51
2008-05-16, 159411, 5968, 1769, 0.03743781796739246, 0.011097101203806513, 147461700, 5078.04
2008-05-17, 59290, 1889, 804, 0.03186034744476303, 0.013560465508517456, , 
2008-05-19, 188231, 7168, 2237, 0.03808086871981767, 0.01188433361136051, 118892400, 5142.1
2008-05-20, 162605, 6017, 2065, 0.03700378217151994, 0.012699486485655423, 142400200, 5054.88
2008-05-21, 174471, 6948, 2149, 0.03982323709957529, 0.012317233236469098, 157355300, 5027.55
2008-05-22, 180897, 6611, 2207, 0.036545658579191474, 0.012200312885233032, 144890500, 5028.74
2008-05-23, 195537, 6934, 2378, 0.03546131934109657, 0.01216138122196822, 134889900, 4933.77
2008-05-24, 52791, 1676, 677, 0.031747835805345605, 0.012824155632588888, , 
2008-05-26, 190357, 6904, 2278, 0.03626869513598134, 0.011966988342955604, 64756800, 4937.84
2008-05-27, 166942, 6462, 1969, 0.03870805429430581, 0.011794515460459322, 135458400, 4906.56
2008-05-28, 201250, 7351, 2355, 0.03652670807453416, 0.011701863354037266, 152840400, 4971.11
2008-05-29, 201318, 7415, 2279, 0.036832275305735206, 0.011320398573401285, 159600000, 4975.9
2008-05-30, 239825, 8890, 2841, 0.03706869592411133, 0.01184613780881893, 156018600, 5014.28
2008-05-31, 53606, 1607, 697, 0.029977987538708353, 0.013002275864642018, , 
2008-06-02, 185030, 6927, 2214, 0.03743717235042966, 0.011965627195589905, 127860500, 4935.21
2008-06-03, 165123, 6320, 1960, 0.038274498404219884, 0.011869939378523889, 127257000, 4983.71
2008-06-04, 181873, 7192, 2109, 0.039544077460645616, 0.011596003804852838, 152002200, 4915.07
2008-06-05, 196029, 7594, 2272, 0.03873916614378485, 0.011590121869723358, 198129700, 4907.06
2008-06-06, 217095, 8482, 2650, 0.03907045302747645, 0.012206637647113015, 203483000, 4795.32
2008-06-07, 55280, 1540, 650, 0.027858176555716353, 0.011758321273516642, , 
2008-06-09, 184336, 7088, 2274, 0.03845152330526864, 0.012336168735352834, 154940700, 4799.38
2008-06-10, 178704, 6862, 2229, 0.03839869281045752, 0.01247313994090787, 182042500, 4761.08
2008-06-11, 191953, 7240, 2206, 0.03771756627924544, 0.011492396576245227, 183387800, 4660.91
2008-06-12, 88680, 3782, 984, 0.042647722147045555, 0.011096075778078484, 200984400, 4672.3
2008-06-13, 192944, 7030, 2273, 0.03643544240815988, 0.011780620283605606, 156709500, 4682.3
2008-06-14, 53293, 1607, 607, 0.030154054003340026, 0.011389863584335655, , 
2008-06-16, 204925, 7968, 2424, 0.03888251799438819, 0.011828717823593998, 130363000, 4657.74
2008-06-17, 185050, 7260, 2139, 0.03923263982707376, 0.011559038097811402, 161826100, 4686.33
2008-06-18, 190821, 7483, 2348, 0.03921476147803439, 0.012304725370897333, 171541900, 4618.75
2008-06-19, 187312, 6767, 2365, 0.036126889894934656, 0.012625992995643633, 194786700, 4591.39
2008-06-20, 218519, 7791, 2553, 0.035653650254668934, 0.01168319459635089, 269391300, 4509.27
2008-06-21, 56009, 1714, 723, 0.030602224642468173, 0.012908639682908105, , 
2008-06-23, 194834, 7358, 2459, 0.037765482410667545, 0.012621000441401398, 152536200, 4511.37
2008-06-24, 178588, 6994, 2538, 0.03916276569534347, 0.014211481174547002, 197903700, 4473.76
2008-06-25, 196047, 7359, 2306, 0.037536917167822, 0.011762485526429887, 157921200, 4536.29
2008-06-26, 195194, 7266, 2274, 0.03722450485158355, 0.011649948256606249, 176921300, 4426.19
2008-06-27, 207281, 7455, 2708, 0.03596566979124956, 0.01306439085106691, 210812700, 4397.32
2008-06-28, 51420, 1592, 697, 0.030960715674834695, 0.013555036950602879, , 
2008-06-30, 201814, 7624, 2449, 0.03777735935068925, 0.012134936129307184, 200549300, 4434.85
2008-07-01, 175116, 6665, 2001, 0.03806048562095982, 0.011426711436990337, 204448900, 4341.21
2008-07-02, 157554, 6151, 1981, 0.039040582911255825, 0.012573466874849257, 196025400, 4296.48
2008-07-03, 160997, 6251, 2032, 0.03882681043746157, 0.012621353192916638, 233201900, 4343.99
2008-07-04, 166343, 6336, 2087, 0.038089970723144344, 0.012546365040909446, 113122900, 4266.0
2008-07-05, 52326, 1764, 727, 0.03371173030615755, 0.01389366662844475, , 
2008-07-07, 159078, 6346, 1849, 0.039892379838821206, 0.011623228856284338, 134681500, 4342.59
2008-07-08, 153489, 5703, 2003, 0.03715575709008463, 0.013049795099323079, 198950500, 4275.61
2008-07-09, 155546, 5858, 1945, 0.03766088488292852, 0.012504339552286784, 162296200, 4339.66
2008-07-10, 154151, 5562, 1986, 0.03608150449883556, 0.01288347140141809, 188697100, 4231.56
2008-07-11, 162322, 5993, 1996, 0.03692044208425229, 0.012296546370793854, 226328300, 4100.64
2008-07-12, 58126, 1696, 721, 0.029177992636685822, 0.012404087671609951, , 
2008-07-14, 52900, 1770, 605, 0.033459357277882795, 0.011436672967863893, 133898800, 4142.53
2008-07-15, 129018, 4544, 1580, 0.03521989179804368, 0.012246353222031034, 215192800, 4061.15
2008-07-16, 136534, 4960, 1596, 0.036327947617443276, 0.01168939604787086, 210208700, 4112.45
2008-07-17, 144969, 5553, 1669, 0.03830474101359601, 0.011512806186150143, 253866900, 4225.99
2008-07-18, 135837, 5028, 1563, 0.037014951743633916, 0.01150643786302701, 243302000, 4299.36
2008-07-19, 66099, 2030, 817, 0.030711508494833506, 0.01236024750752659, , 
2008-07-21, 116249, 4044, 1351, 0.03478739602061093, 0.011621605347142771, 278950900, 4327.14
2008-07-22, 140112, 5315, 1672, 0.037933938563434966, 0.011933310494461573, 195075500, 4327.26
2008-07-23, 146721, 5431, 1685, 0.03701583277104164, 0.011484381922151567, 187141500, 4408.74
2008-07-24, 156906, 5774, 1757, 0.036799102647444966, 0.011197787210176793, 174642800, 4347.99
2008-07-25, 146353, 5000, 1816, 0.0341639734067631, 0.012408355141336359, 178215500, 4377.18
2008-07-26, 52930, 1561, 665, 0.029491781598337426, 0.012563763461175137, , 
2008-07-28, 126719, 4616, 1561, 0.03642705513774572, 0.01231859468587978, 121680200, 4324.45
2008-07-29, 140439, 5325, 1673, 0.03791681797791212, 0.011912645347802248, 185701300, 4320.49
2008-07-30, 133048, 5290, 1602, 0.03976008658529252, 0.01204076724189766, 168140700, 4400.55
2008-07-31, 129033, 4710, 1501, 0.036502290111831856, 0.011632683112072106, 162667100, 4392.36
2008-08-01, 144365, 5455, 1753, 0.037786167007238594, 0.012142832403976032, 137880200, 4314.34
2008-08-02, 41590, 1224, 519, 0.029430151478720846, 0.012478961288771339, , 
2008-08-04, 120446, 4353, 1566, 0.03614067714992611, 0.013001677100111254, 111724800, 4280.63
2008-08-05, 124187, 4558, 1576, 0.036702714454814114, 0.012690539267395138, 181949200, 4386.35
2008-08-06, 122941, 4317, 1536, 0.03511440447043704, 0.012493797837987328, 182953900, 4448.33
2008-08-07, 117677, 4297, 1310, 0.03651520687984908, 0.01113216686353323, 185973700, 4457.43
2008-08-08, 130620, 4555, 1622, 0.03487214821619966, 0.01241770019905068, 158965000, 4491.85
2008-08-09, 45322, 1250, 531, 0.027580424517894178, 0.011716164335201448, , 
2008-08-11, 103305, 3479, 1237, 0.03367697594501718, 0.011974251004307632, 111653000, 4538.49
2008-08-12, 115866, 3920, 1302, 0.03383218545561252, 0.011237118740614158, 148984600, 4518.48
2008-08-13, 116589, 3917, 1373, 0.03359665148513153, 0.011776411153710899, 154188100, 4402.97
2008-08-14, 142660, 4908, 1732, 0.03440347679798121, 0.012140754240852376, 123336200, 4420.91
2008-08-15, 50687, 1532, 654, 0.0302247124509243, 0.01290271667291416, 106966800, 4453.62
2008-08-16, 33658, 875, 354, 0.02599679125319389, 0.010517558975577872, , 
2008-08-18, 94685, 2971, 1137, 0.03137772614458467, 0.012008237841263135, 93648400, 4448.84
2008-08-19, 113524, 3871, 1369, 0.03409851661322716, 0.01205912406187238, 127542700, 4332.79
2008-08-20, 104076, 3609, 1291, 0.03467658249740574, 0.012404396786963373, 116906600, 4365.87
2008-08-21, 127422, 4035, 1584, 0.03166643122851627, 0.012431134341008617, 124125200, 4304.61
