Date,Open,High,Low,Close,Volume,Adj Close
2008-04-08,4908.16,4914.43,4878.73,4912.69,113384100,4912.69
2008-04-07,4936.25,4959.97,4926.67,4944.60,128312000,4944.60
2008-04-04,4914.42,4919.96,4848.67,4900.88,141401200,4900.88
2008-04-03,4926.37,4926.37,4853.96,4887.87,151866000,4887.87
2008-04-02,4906.06,4923.40,4856.39,4911.97,173182300,4911.97
2008-04-01,4689.65,4876.84,4681.24,4866.00,188525000,4866.00
2008-03-31,4648.54,4711.78,4622.26,4707.07,142322200,4707.07
2008-03-28,4722.95,4740.78,4679.53,4695.92,115984400,4695.92
2008-03-27,4667.99,4750.63,4664.97,4719.53,150671700,4719.53
2008-03-26,4658.51,4693.62,4647.92,4676.68,153864400,4676.68
2008-03-25,4692.17,4699.90,4647.54,4692.00,206193300,4692.00
2008-03-20,4510.97,4553.28,4480.87,4533.72,290932000,4533.72
2008-03-19,4635.02,4652.67,4533.18,4555.95,248269200,4555.95
2008-03-18,4502.64,4593.00,4481.80,4582.59,223507000,4582.59
2008-03-17,4449.39,4505.97,4416.71,4431.04,249766000,4431.04
2008-03-14,4632.11,4707.83,4544.62,4592.15,214275200,4592.15
2008-03-13,4610.99,4642.20,4547.09,4630.19,197888900,4630.19
2008-03-12,4716.92,4741.89,4678.62,4697.10,196215200,4697.10
2008-03-11,4589.88,4683.18,4566.95,4627.69,189545700,4627.69
2008-03-10,4601.71,4625.98,4534.58,4566.99,158091800,4566.99
2008-03-07,4630.57,4661.88,4576.59,4618.96,198919200,4618.96
2008-03-06,4767.04,4767.04,4664.14,4678.05,158195900,4678.05
2008-03-05,4723.10,4767.59,4689.03,4756.42,141700700,4756.42
2008-03-04,4749.07,4782.86,4655.25,4675.91,163286600,4675.91
2008-03-03,4723.22,4764.15,4698.00,4742.66,150295500,4742.66
2008-02-29,4837.01,4873.02,4768.53,4790.66,196078300,4790.66
2008-02-28,4939.15,4964.09,4856.05,4865.23,178539100,4865.23
2008-02-27,4990.63,4992.77,4892.59,4968.82,182277000,4968.82
2008-02-26,4955.71,4980.65,4917.15,4973.07,176562600,4973.07
2008-02-25,4877.89,4925.94,4870.41,4919.26,143544400,4919.26
2008-02-22,4818.73,4878.18,4786.67,4824.55,162038700,4824.55
2008-02-21,4854.10,4905.17,4834.04,4858.85,162398400,4858.85
2008-02-20,4828.36,4866.90,4779.14,4812.81,168788700,4812.81
2008-02-19,4844.52,4940.36,4806.17,4885.83,153181200,4885.83
2008-02-15,4857.49,4877.66,4743.93,4771.79,175653200,4771.79
2008-02-14,4923.97,4926.33,4835.77,4858.65,177895400,4858.65
2008-02-13,4791.82,4887.31,4781.50,4855.40,168735900,4855.40
2008-02-12,4728.78,4846.97,4676.10,4840.71,196522500,4840.71
2008-02-11,4653.15,4734.73,4644.74,4682.70,154090700,4682.70
2008-02-08,4764.86,4789.38,4679.80,4709.65,224328000,4709.65
2008-02-07,4792.56,4797.54,4683.06,4723.80,221349300,4723.80
2008-02-06,4729.41,4823.03,4729.41,4816.43,211346000,4816.43
2008-02-05,4970.09,4970.79,4767.45,4776.86,200152000,4776.86
2008-02-04,5027.26,5027.26,4954.93,4973.64,131717900,4973.64
2008-02-01,4935.79,5009.16,4927.18,4978.06,225981000,4978.06
2008-01-31,4863.37,4907.67,4762.73,4869.79,216186900,4869.79
2008-01-30,4911.73,4911.80,4841.30,4873.57,178151400,4873.57
2008-01-29,4893.38,4949.40,4868.01,4941.45,167172600,4941.45
2008-01-28,4791.50,4854.34,4755.98,4848.30,166274300,4848.30
2008-01-25,5001.57,5001.57,4855.43,4878.12,232316200,4878.12
2008-01-24,4816.99,4916.98,4773.53,4915.29,323092800,4915.29
2008-01-23,4950.00,4950.00,4591.24,4636.76,353541900,4636.76
2008-01-22,4544.79,4903.99,4505.14,4842.54,463552500,4842.54
2008-01-21,5006.48,5012.53,4726.76,4744.45,365210100,4744.45
2008-01-18,5159.56,5231.56,5081.23,5092.40,255148000,5092.40
2008-01-17,5278.29,5278.50,5150.24,5157.09,204957900,5157.09
